"","X","Year","Player","Pos","Age","Tm","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PPG","APG","RPG","BPG","SPG","MPG","TOPG","PFPG","Salary.in.."
"1",24096,2017,"Alex Abrines","SG",23,"OKC",68,6,1055,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,0.095,-0.3,-2.2,-2.5,-0.1,134,341,0.393,94,247,0.381,40,94,0.426,0.531,44,49,0.898,18,68,86,40,37,8,33,114,406,5.97058823529412,0.588235294117647,1.26470588235294,0.117647058823529,0.544117647058823,15.5147058823529,0.485294117647059,1.67647058823529,5994764
"2",24098,2017,"Quincy Acy","PF",26,"DAL",6,0,48,-1.4,0.355,0.412,0.176,4.6,15.2,9.7,0,0,0,9.8,20,-0.2,0,-0.1,-0.133,-10.1,-6,-16.2,-0.2,5,17,0.294,1,7,0.143,4,10,0.4,0.324,2,3,0.667,2,6,8,0,0,0,2,9,13,2.16666666666667,0,1.33333333333333,0,0,8,0.333333333333333,1.5,1050961
"3",24099,2017,"Quincy Acy","PF",26,"BRK",32,1,510,13.1,0.587,0.542,0.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,1.1,0.102,-1.1,-0.7,-1.8,0,65,153,0.425,36,83,0.434,29,70,0.414,0.542,43,57,0.754,18,89,107,18,14,15,19,58,209,6.53125,0.5625,3.34375,0.46875,0.4375,15.9375,0.59375,1.8125,1914544
"4",24100,2017,"Steven Adams","C",23,"OKC",80,80,2389,16.5,0.589,0.002,0.392,13,15.5,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,6.4,0.13,-0.7,1.2,0.5,1.5,374,655,0.571,0,1,0,374,654,0.572,0.571,157,257,0.611,282,333,615,86,88,78,146,195,905,11.3125,1.075,7.6875,0.975,1.1,29.8625,1.825,2.4375,3140517
"5",24101,2017,"Arron Afflalo","SG",31,"SAC",61,45,1580,9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,1.2,0.2,1.4,0.043,-1.4,-2,-3.5,-0.6,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,7,42,104,515,8.44262295081967,1.27868852459016,2.04918032786885,0.114754098360656,0.344262295081967,25.9016393442623,0.688524590163934,1.70491803278689,12500000
"6",24102,2017,"Alexis Ajinca","C",28,"NOP",39,15,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,0,0.9,1,0.08,-5.1,1,-4.1,-0.3,89,178,0.5,0,4,0,89,174,0.511,0.5,29,40,0.725,46,131,177,12,20,22,31,77,207,5.30769230769231,0.307692307692308,4.53846153846154,0.564102564102564,0.512820512820513,14.974358974359,0.794871794871795,1.97435897435897,4600000
"7",24103,2017,"Cole Aldrich","C",28,"MIN",62,0,531,12.7,0.549,0,0.256,11,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,0.116,-2,2.6,0.6,0.4,45,86,0.523,0,0,0,45,86,0.523,0.523,15,22,0.682,51,107,158,25,25,23,17,85,105,1.69354838709677,0.403225806451613,2.54838709677419,0.370967741935484,0.403225806451613,8.56451612903226,0.274193548387097,1.37096774193548,7643979
"8",24104,2017,"LaMarcus Aldridge","PF",31,"SAS",72,72,2335,18.6,0.532,0.053,0.258,8.6,16.6,12.7,9.9,1,3.1,7.7,24.5,3.5,3.7,7.3,0.149,-0.3,1.4,1.1,1.8,500,1049,0.477,23,56,0.411,477,993,0.48,0.488,220,271,0.812,174,350,524,139,46,89,98,158,1243,17.2638888888889,1.93055555555556,7.27777777777778,1.23611111111111,0.638888888888889,32.4305555555556,1.36111111111111,2.19444444444444,20575005
"9",24105,2017,"Lavoy Allen","PF",27,"IND",61,5,871,11.6,0.485,0.006,0.196,13.7,14.6,14.2,9.1,1,2.4,13.7,10.9,0.9,0.8,1.7,0.093,-1.5,1.3,-0.3,0.4,77,168,0.458,0,1,0,77,167,0.461,0.458,23,33,0.697,105,115,220,57,18,24,29,78,177,2.90163934426229,0.934426229508197,3.60655737704918,0.39344262295082,0.295081967213115,14.2786885245902,0.475409836065574,1.27868852459016,4e+06
"10",24106,2017,"Tony Allen","SG",35,"MEM",71,66,1914,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-1.8,2.4,0.7,1.3,274,595,0.461,15,54,0.278,259,541,0.479,0.473,80,130,0.615,166,225,391,98,115,29,100,178,643,9.05633802816901,1.38028169014085,5.50704225352113,0.408450704225352,1.61971830985915,26.9577464788732,1.40845070422535,2.50704225352113,5505618
